County,A,B,C=A+B,D,E=C+D
Kiambu,"7,667,891,497","2,982,985,530","10,650,877,027","1,212,259,243","11,863,136,270"
Kilifi,"4,779,457,311","3,046,198,864","7,825,656,175","3,355,060,000","11,180,716,175"
Kirinyaga,"2,906,183,515","1,929,883,732","4,836,067,247","1,609,991,179","6,446,058,427"
Kisii,"5,635,833,829","1,884,373,792","7,520,207,621","457,815,848","7,978,023,469"
Kisumu,"4,853,815,255","2,418,017,795","7,271,833,050","1,808,499,184","9,080,332,234"
Kitui,"4,884,247,661","3,289,516,780","8,173,764,441","2,129,554,649","10,303,319,090"
Kwale,"3,289,955,432","3,468,759,650","6,758,715,082","2,950,191,667","9,708,906,748"
Laikipia,"3,648,148,509","1,675,767,361","5,323,915,870","1,225,931,428","6,549,847,298"
Lamu,"1,621,061,853","1,126,864,417","2,747,926,271","763,507,194","3,511,433,465"
Machakos,"5,720,766,966","2,206,172,893","7,926,939,858","1,600,080,058","9,527,019,916"
Makueni,"4,405,297,128","2,904,636,955","7,309,934,082","2,537,372,482","9,847,306,564"
Mandera,"3,986,566,397","4,211,904,034","8,198,470,430","3,656,648,676","11,855,119,107"
Marsabit,"3,012,922,471","1,915,135,744","4,928,058,215","2,698,781,808","7,626,840,023"
Meru,"5,776,965,781","3,039,220,499","8,816,186,280","2,640,927,572","11,457,113,852"
Migori,"3,306,429,940","3,501,972,210","6,808,402,150","1,690,148,150","8,498,550,300"
Mombasa,"6,903,270,841","3,451,887,742","10,355,158,583","2,183,638,615","12,538,797,198"
Murang'a,"4,271,264,056","2,161,272,934","6,432,536,990","2,037,799,896","8,470,336,886"
Nairobi City,"12,186,281,786","16,441,644,954","28,627,926,740","4,610,458,210","33,238,384,950"
Nakuru,"6,921,076,137","3,599,633,797","10,520,709,934","3,008,132,002","13,528,841,936"
Nandi,"3,639,290,897","2,321,831,902","5,961,122,799","1,969,443,798","7,930,566,597"
Narok,"4,607,802,622","5,046,481,753","9,654,284,375","3,149,842,969","12,804,127,344"
Nyamira,"3,061,065,041","1,280,209,897","4,341,274,938","1,393,939,708","5,735,214,646"
Nyandarua,"2,489,904,491","2,493,332,966","4,983,237,457","1,673,141,763","6,656,379,220"
Nyeri,"3,914,380,491","1,199,503,430","5,113,883,921","1,718,404,708","6,832,288,629"
Samburu,"2,204,439,800","2,287,424,365","4,491,864,165","1,837,438,170","6,329,302,335"
Siaya,"3,001,492,505","2,277,503,557","5,278,996,062","1,520,275,370","6,799,271,432"
Taita Taveta,"3,273,588,290","1,600,940,205","4,874,528,495","1,261,053,122","6,135,581,617"
Tana River,"1,934,245,203","2,692,075,152","4,626,320,355","1,288,961,673","5,915,282,027"
Tharaka Nithi,"2,845,808,754","1,237,802,990","4,083,611,744","914,063,233","4,997,674,977"
Trans Nzoia,"3,304,858,873","2,154,126,237","5,458,985,110","2,138,901,698","7,597,886,808"
Turkana,"4,427,369,402","6,763,712,568","11,191,081,970","3,318,037,130","14,509,119,100"
Uasin Gishu,"4,196,168,379","2,965,501,035","7,161,669,414","3,218,766,179","10,380,435,592"
Baringo,"3,431,707,237","1,936,779,643","5,368,486,881","2,432,718,510","7,801,205,391"
Bomet,"3,174,187,421","2,356,038,347","5,530,225,768","1,533,347,795","7,063,573,563"
Bungoma,"5,385,207,688","3,893,620,888","9,278,828,576","2,734,122,548","12,012,951,124"
Busia,"3,372,659,005","2,853,030,158","6,225,689,163","1,257,066,447","7,482,755,610"
"Elgeyo Marak
wet","2,497,272,680","1,272,230,526","3,769,503,206","1,390,643,910","5,160,147,116"
Embu,"3,453,561,407","1,436,998,305","4,890,559,712","1,223,444,503","6,114,004,216"
Garissa,"4,767,693,237","1,394,936,285","6,162,629,522","1,597,334,634","7,759,964,156"
Homa Bay,"4,515,876,655","2,424,943,663","6,940,820,318","2,474,759,957","9,415,580,275"
Isiolo,"2,044,390,349","1,982,988,893","4,027,379,242","1,462,406,427","5,489,785,669"
Kajiado,"4,603,884,407","2,503,664,114","7,107,548,521","2,411,570,893","9,519,119,414"
Kakamega,"6,238,655,022","4,238,635,229","10,477,290,252","3,657,539,952","14,134,830,203"
Kericho,"3,257,744,713","2,174,144,303","5,431,889,016","2,190,789,977","7,622,678,993"
Vihiga,"2,524,955,657","1,957,597,283","4,482,552,940","1,464,628,343","5,947,181,283"
Wajir,"4,477,868,418","3,370,141,297","7,848,009,715","2,377,736,408","10,225,746,123"
West Pokot,"2,667,136,835","2,453,083,815","5,120,220,649","2,193,105,287","7,313,325,936"
Total,"195,090,651,843","135,825,128,488","330,915,780,331","97,980,282,972","428,896,063,303"
